idx URL Obj.    MDR
1	http://www.bookbuyer.com	4	4
2	http://www.powells.com	4	4
3	http://www.barnesandnoble.com	4	4
4	http://www.codysbooks.com	6	6
5	http://www.bookpool.com	25	25
6	http://www.borders.com	25	25
7	http://www.alphabetstreet.infront.co.uk	10	10
8	http://www.ebay.com	7	7
9	http://auctions.yahoo.com	6	6
10	http://www.drugstore.com	8	8
11	http://www.epicurious.com	3	3
12	http://www.mymenus.com	6	6
14	http://www.eve.com/	9	9
13	http://www.cooking.com	11	11
15	http://www.etoys.com	5	5
16	http://www.tourvacationstogo.com	70	70
17	http://www.tourturkey.com	6	6
18	http://www.asiatravel.com	18	18
19	http://www.mapquest.com	2	2
20	http://www.travelocity.com	5	5
21	http://www.ubid.com	22	22
22	http://www.grijns.net/	62	62
23	http://journeys.20m.com	8	8
24	http://www.softwareoutlet.com	9	9
25	http://qualityinks.com/index.php	66	66
26	http://www.nothingbutsoftware.com	17	17
27	http://www.newegg.com	12	12
28	http://chemstore.cambridgesoft.com	5	5
29	http://www.godaddy.com	4	4
30	http://www.compusa.com	8	8
31	http://www.radioshack.com	9	9
32	http://www.earlemu.com	4	4
33	http://www.kadybooks.com	20	20
34	http://www.kidsfootlocker.com	9	9
35	http://shop.lycos.com	13	13
36	http://thenew.hp.com	4	4
37	http://www.dell.com	5	5
38	http://www.circuitcity.com	4	4
39	http://www.overstock.com	3	3
40	http://www.kodak.com	3	3
41	http://www.flipdog.com	25	25
42	http://www.summerjobs.com	20	20
43	http://search.lycos.com	10	10
44	http://www.northernlight.com	10	9
45	http://www.coolhits.com	20	20
46	http://www.mamma.com	15	15
